time,evtol_id,state,node_from,node_to,op,is_p,is_o,battery_level,battery_after_op,onboard_passenger_count,onboard_groups,onboard_group_sizes,served_groups_evtol,x,y,x_from,y_from,x_to,y_to
46,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
47,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
48,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
49,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
50,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
51,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
52,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
53,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
54,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
55,1,parked,1,1,,1.0,0.0,100.0,0,0,,,2;6,12.647601,55.629053,12.647601,55.629053,12.647601,55.629053
56,1,flying,1,3,1,0.0,1.0,100.0,0,1,6,6:1,2;6,11.9488005,55.6646765,12.647601,55.629053,11.25,55.7003
57,1,flying,1,3,1,0.0,1.0,100.0,0,1,6,6:1,2;6,11.9488005,55.6646765,12.647601,55.629053,11.25,55.7003
58,1,flying,1,3,1,0.0,1.0,100.0,0,1,6,6:1,2;6,11.9488005,55.6646765,12.647601,55.629053,11.25,55.7003
59,1,flying,1,3,1,0.0,1.0,100.0,0,1,6,6:1,2;6,11.9488005,55.6646765,12.647601,55.629053,11.25,55.7003
