scenario,run,best_obj,best_profit,aircraft_utilization,deadhead_time,passenger_demand_served,average_passenger_waiting_time
s5,6,34774.037279974065,53694.037279974065,0.12590811965811965,194.0,11,2.6363636363636362
s5,7,26259.3237143604,42959.3237143604,0.12147435897435897,113.0,10,5.4
s5,8,10520.051780759808,29380.051780759808,0.08918269230769231,14.0,8,3.875
s5,9,12395.935852248658,30215.93585224866,0.1203525641025641,161.0,10,6.8
s5,10,23015.275382447508,41735.27538244751,0.12486263736263736,226.0,13,2.5384615384615383
s5,11,47256.18087210049,64156.18087210049,0.126510989010989,182.0,14,1.5714285714285714
s5,12,3498.5180918955884,20758.51809189559,0.07724358974358975,61.0,5,0.0
s5,13,47739.35120323548,66779.35120323548,0.11064814814814815,213.0,15,1.2666666666666666
s5,14,8256.332845719262,26976.332845719262,0.08974358974358974,184.0,8,2.5
s5,15,14052.422278951744,34312.422278951744,0.0926923076923077,244.0,14,2.9285714285714284
s5,16,27849.415041095293,46969.41504109529,0.11858974358974358,168.0,10,3.1
s5,17,50717.61151723222,68477.61151723222,0.1388888888888889,158.0,12,6.166666666666667
s5,18,34225.89776142544,53385.89776142544,0.09323361823361824,219.0,12,3.0
s5,19,25660.02823477688,44160.02823477688,0.10068681318681319,162.0,10,0.5
s5,20,28884.184527332618,48904.18452733262,0.10113960113960115,196.0,13,3.3076923076923075
s6,1,20080.53119156284,38420.53119156284,0.20361721611721612,194.0,11,2.6363636363636362
s6,2,31410.601737448524,50350.60173744852,0.19030448717948717,236.0,14,3.7857142857142856
s6,3,24533.616284473253,43213.61628447325,0.25737179487179485,127.0,11,3.8181818181818183
s6,4,24935.409418904404,42595.409418904404,0.20085470085470086,205.0,11,1.3636363636363635
s6,5,34361.64913916277,51561.64913916277,0.1646978021978022,136.0,12,0.08333333333333333
s6,6,31482.393945472242,50522.39394547224,0.17147435897435898,98.0,12,1.8333333333333333
s6,7,52435.75825855561,70775.75825855561,0.18297720797720798,192.0,16,2.5625
s6,8,18249.200158022526,35369.200158022526,0.22865384615384615,93.0,10,4.2
s6,9,20448.66784442208,39648.66784442208,0.15496794871794872,164.0,12,2.0833333333333335
s6,10,22557.563373220015,39977.563373220015,0.20993589743589744,155.0,11,2.3636363636363638
s6,11,23865.245621294795,41705.245621294795,0.1814102564102564,167.0,12,4.25
s6,12,48673.72362848233,66053.72362848233,0.19631410256410256,95.0,12,1.5833333333333333
s6,13,26806.79822643048,44126.79822643048,0.18942307692307692,167.0,14,3.357142857142857
s6,14,11825.394152023899,30245.3941520239,0.14803113553113553,177.0,11,1.1818181818181819
s6,15,24352.101786333602,41472.1017863336,0.18435897435897436,106.0,10,0.8
s6,16,26170.588131673096,45090.588131673096,0.18205128205128204,160.0,11,5.818181818181818
s6,17,41172.62568538512,59352.62568538512,0.25134615384615383,144.0,12,5.416666666666667
s6,18,36852.18107140813,52972.18107140813,0.2342948717948718,44.0,10,5.1
s6,19,24211.429826725776,42191.42982672578,0.18,117.0,9,1.5555555555555556
s6,20,28237.12482815462,48857.12482815462,0.1516346153846154,222.0,15,3.4
s7,1,-2542.912339793522,16657.087660206478,0.20683760683760682,66.0,7,0.0
s7,2,-406.9961802180478,17493.003819781952,0.14903846153846154,0.0,4,0.0
s7,3,-8753.908595930065,10946.091404069935,0.26282051282051283,0.0,4,6.75
s7,4,17501.610589921715,39541.610589921715,0.1678113553113553,95.0,12,2.0833333333333335
s7,5,4013.944624626747,21813.944624626747,0.15213675213675212,0.0,8,0.375
s7,6,11262.44132646269,30102.44132646269,0.21495726495726497,61.0,7,1.0
s7,7,8594.922558098686,29294.922558098686,0.1717948717948718,121.0,11,2.4545454545454546
s7,8,9762.280890790731,27062.28089079073,0.16153846153846155,16.0,6,0.0
s7,9,2867.3057164244346,22727.305716424435,0.1367948717948718,67.0,8,4.25
s7,10,5677.411374342002,27557.411374342002,0.18814102564102564,147.0,12,3.5833333333333335
s7,11,-12045.644064670614,6254.355935329385,0.15363247863247864,45.0,5,0.0
s7,12,1682.4126449216856,21222.412644921686,0.17243589743589743,84.0,10,1.8
s7,13,5853.2957755644675,26093.295775564467,0.19487179487179487,112.0,11,1.0
s7,14,-7145.453905310311,9954.54609468969,0.12628205128205128,0.0,4,0.0
s7,15,-4440.932527980691,13819.06747201931,0.2128205128205128,0.0,3,1.0
s7,16,-7512.434035919341,11787.565964080659,0.19935897435897437,23.0,4,2.0
s7,17,3518.9005471725177,22718.900547172518,0.15213675213675212,83.0,11,0.9090909090909091
s7,18,7492.753711997946,26952.753711997946,0.26495726495726496,74.0,10,2.2
s7,19,8902.987074563127,30562.987074563127,0.16768162393162392,69.0,12,3.0
s7,20,27218.386653195907,47458.38665319591,0.14807692307692308,74.0,10,2.7
s8,1,26061.208834646073,44541.20883464607,0.11175213675213676,118.0,11,0.0
s8,2,15925.526984635588,34725.52698463559,0.128525641025641,152.0,12,3.75
s8,3,26370.486270590416,44770.486270590416,0.11621794871794872,58.0,11,7.0
s8,4,19993.558802167972,37193.55880216797,0.15314102564102564,146.0,10,1.8
s8,5,63934.61313432739,82354.61313432739,0.11381766381766381,146.0,16,3.0
s8,6,23968.706076743823,41768.70607674382,0.11116452991452991,70.0,11,3.909090909090909
s8,7,21152.259617007992,37652.25961700799,0.10181623931623932,104.0,10,1.7
s8,8,38336.74796081311,54676.74796081311,0.13990384615384616,25.0,11,9.363636363636363
s8,9,31854.948867348867,49434.94886734887,0.130982905982906,188.0,12,4.916666666666667
s8,10,58736.8818661306,77076.8818661306,0.10861378205128205,119.0,15,4.333333333333333
s8,11,7951.38739144642,24051.38739144642,0.1517094017094017,34.0,8,9.75
s8,12,19100.612952042866,37940.612952042866,0.1315934065934066,185.0,13,3.6923076923076925
s8,13,39902.5599072552,57442.5599072552,0.13541666666666666,137.0,12,5.833333333333333
s8,14,23561.64776137819,40901.64776137819,0.13549679487179486,73.0,7,2.4285714285714284
s8,15,27321.441607330707,44961.44160733071,0.11378205128205128,169.0,11,2.0
s8,16,5566.800273398192,24286.800273398192,0.11371794871794871,122.0,10,2.2
s8,17,24226.923727590336,42426.923727590336,0.1202457264957265,107.0,11,2.6363636363636362
s8,18,33233.323795176904,51253.323795176904,0.1498931623931624,196.0,13,3.923076923076923
s8,19,18962.67472277503,37862.67472277503,0.10054945054945055,124.0,11,3.8181818181818183
s8,20,8761.694547006027,25061.694547006027,0.09358974358974359,50.0,8,2.75
s9,1,26218.97306415644,48058.97306415644,0.16886446886446888,202.0,11,1.4545454545454546
s9,2,16196.057098882608,35296.05709888261,0.20865384615384616,176.0,8,4.625
s9,3,18927.45529868189,39727.45529868189,0.15053418803418803,135.0,10,4.5
s9,4,18706.150079288862,38786.15007928886,0.16807692307692307,100.0,9,3.0
s9,5,27292.68540262396,50772.68540262396,0.1571937321937322,211.0,13,1.9230769230769231
s9,6,23962.251263260434,44622.251263260434,0.24519230769230768,161.0,9,0.4444444444444444
s9,7,17288.760493415495,39268.760493415495,0.16463675213675213,145.0,11,2.4545454545454546
s9,8,14082.867485153736,36042.867485153736,0.12756410256410255,153.0,11,0.0
s9,9,26759.755221551357,48319.75522155136,0.17612179487179488,117.0,11,0.8181818181818182
s9,10,27434.02257918746,46694.02257918746,0.22395833333333334,69.0,9,5.111111111111111
s9,11,8057.886807938645,28957.886807938645,0.16185897435897437,136.0,9,2.888888888888889
s9,12,9459.57739673373,29339.57739673373,0.1671474358974359,28.0,8,3.75
s9,13,15372.738169909288,35712.73816990929,0.19015567765567765,152.0,12,3.0833333333333335
s9,14,6631.777032965976,25531.777032965976,0.2153846153846154,84.0,10,3.3
s9,15,20503.817793488794,41943.81779348879,0.1504120879120879,67.0,12,5.0
s9,16,24912.162582155914,44932.162582155914,0.17717948717948717,46.0,11,2.8181818181818183
s9,17,-2118.028216941835,20861.971783058165,0.17297008547008547,186.0,10,1.9
s9,18,31545.025431080037,53785.02543108004,0.19919871794871793,200.0,12,9.083333333333334
s9,19,44634.957401055886,66314.95740105589,0.2108058608058608,261.0,14,2.0714285714285716
s9,20,13238.816551438424,35178.81655143842,0.18360805860805862,170.0,14,4.142857142857143
s10,1,35327.41536344141,57367.41536344141,0.15375457875457876,169.0,16,3.75
s10,2,8106.637347684758,30846.63734768476,0.0921474358974359,109.0,8,0.25
s10,3,13465.161862852743,33005.16186285274,0.15886752136752136,52.0,9,7.666666666666667
s10,4,3887.3815040644404,22127.38150406444,0.11907051282051281,61.0,6,4.666666666666667
s10,5,19534.494933490867,38334.49493349087,0.09628205128205128,39.0,9,6.333333333333333
s10,6,25269.65682242404,44669.65682242404,0.09919871794871794,83.0,10,2.5
s10,7,20232.350403278615,39192.350403278615,0.12737179487179487,125.0,8,2.375
s10,8,10677.870924646653,31137.870924646653,0.10935897435897436,104.0,7,1.8571428571428572
s10,9,31487.772369648643,53327.77236964864,0.10969551282051282,175.0,13,2.076923076923077
s10,10,5581.345559354148,27621.345559354148,0.10987179487179487,40.0,11,2.1818181818181817
s10,11,28649.84946297489,50269.84946297489,0.10603632478632478,94.0,11,2.727272727272727
s10,12,26095.02171899566,45695.02171899566,0.10277777777777777,103.0,10,1.0
s10,13,17448.975593522882,38248.97559352288,0.09883814102564102,179.0,13,3.923076923076923
s10,14,14200.667198477902,33600.6671984779,0.10076923076923076,99.0,8,0.0
s10,15,18355.589462813383,40135.58946281338,0.09743589743589744,135.0,12,1.9166666666666667
s10,16,24905.930381222803,46745.9303812228,0.16207264957264958,23.0,10,9.6
s10,17,34768.27743163554,54668.27743163554,0.14882478632478632,200.0,12,4.25
s10,18,40005.947487639074,62625.947487639074,0.13485576923076922,159.0,15,2.533333333333333
s10,19,36624.34358173226,57624.34358173226,0.14941239316239316,143.0,13,1.3846153846153846
s10,20,33112.274346321545,51932.274346321545,0.11634615384615385,103.0,10,3.8
